horizon,fold,n_train_subjects,n_test_subjects,auroc,auprc,f1
all,0,169,43,0.729064039408867,0.5100900541295602,0.6111111111111112
all,1,169,43,0.6278409090909091,0.33826669465214354,0.42857142857142855
all,2,170,42,0.5263157894736842,0.4787068889638503,0.5581395348837209
all,3,170,42,0.576530612244898,0.500371685403198,0.5185185185185185
all,4,170,42,0.540625,0.3614646349940468,0.37037037037037035
≤3mo,0,35,9,0.6,0.5595238095238095,0.0
≤3mo,1,35,9,0.75,0.7928571428571429,0.7272727272727273
≤3mo,2,35,9,0.8,0.7708333333333333,0.3333333333333333
≤3mo,3,35,9,0.19999999999999998,0.37152777777777773,0.36363636363636365
≤3mo,4,36,8,0.6000000000000001,0.6861904761904762,0.7272727272727273
≤6mo,0,73,19,0.7727272727272727,0.7190934065934066,0.75
≤6mo,1,74,18,0.6125,0.6444180819180819,0.5555555555555556
≤6mo,2,74,18,0.8055555555555555,0.688131313131313,0.5714285714285714
≤6mo,3,74,18,0.3125,0.46616577866577863,0.3157894736842105
≤6mo,4,73,19,0.5111111111111111,0.49720736779560315,0.47058823529411764
≤12mo,0,128,32,0.453125,0.23923230731760675,0.1111111111111111
≤12mo,1,128,32,0.45344129554655876,0.3951753822411391,0.4
≤12mo,2,128,32,0.7536231884057971,0.6911986161986161,0.5833333333333334
≤12mo,3,128,32,0.6583333333333333,0.5355956167305271,0.5
≤12mo,4,128,32,0.4784313725490197,0.5518698861944628,0.3076923076923077
